time_s,cumulative_reflected,cumulative_stuck,cumulative_absorbed
0.0003256,264,325,3
0.0003257,264,325,3
0.0003258,264,325,3
0.0003259,264,325,3
0.000326,264,325,3
0.0003261,264,325,3
0.0003262,264,325,3
0.0003263,264,325,3
0.0003264,264,325,3
0.0003265,264,325,3
0.0003266,264,325,3
0.0003267,264,325,3
0.0003268,264,325,3
0.0003269,264,325,3
0.000327,264,325,3
0.0003271,264,325,3
0.0003272,264,325,3
0.0003273,264,325,3
0.0003274,264,325,3
0.0003275,264,325,3
0.0003276,264,325,3
0.0003277,264,325,3
0.0003278,264,325,3
0.0003279,264,325,3
0.000328,264,325,3
0.0003281,264,325,3
0.0003282,264,325,3
0.0003283,264,325,3
0.0003284,264,325,3
0.0003285,264,325,3
0.0003286,264,325,3
0.0003287,264,325,3
0.0003288,264,325,3
0.0003289,264,325,3
0.000329,264,325,3
0.0003291,264,325,3
0.0003292,264,325,3
0.0003293,264,325,3
0.0003294,264,325,3
0.0003295,264,325,3
0.0003296,264,325,3
0.0003297,264,325,3
0.0003298,264,325,3
0.0003299,264,325,3
0.00033,264,325,3
0.0003301,264,325,3
0.0003302,264,325,3
0.0003303,264,325,3
0.0003304,264,325,3
0.0003305,264,325,3
0.0003306,264,325,3
0.0003307,264,325,3
0.0003308,264,325,3
0.0003309,264,325,3
0.000331,264,325,3
0.0003311,264,325,3
0.0003312,264,325,3
0.0003313,264,325,3
0.0003314,264,325,3
0.0003315,264,325,3
0.0003316,264,325,3
0.0003317,264,325,3
0.0003318,264,325,3
0.0003319,264,325,3
0.000332,264,325,3
0.0003321,264,325,3
0.0003322,264,325,3
0.0003323,264,325,3
0.0003324,264,325,3
0.0003325,264,325,3
0.0003326,264,325,3
0.0003327,264,325,3
0.0003328,264,325,3
0.0003329,264,325,3
0.000333,264,325,3
0.0003331,264,325,3
0.0003332,264,325,3
0.0003333,264,325,3
0.0003334,264,325,3
0.0003335,264,325,3
0.0003336,264,325,3
0.0003337,264,325,3
0.0003338,264,325,3
0.0003339,264,325,3
0.000334,264,325,3
0.0003341,264,325,3
0.0003342,264,325,3
0.0003343,264,325,3
0.0003344,264,325,3
0.0003345,264,325,3
0.0003346,264,325,3
0.0003347,264,325,3
0.0003348,264,325,3
0.0003349,264,325,3
0.000335,264,325,3
0.0003351,264,325,3
0.0003352,264,325,3
0.0003353,264,325,3
0.0003354,264,325,3
0.0003355,264,325,3
0.0003356,264,325,3
0.0003357,264,325,3
0.0003358,264,325,3
0.0003359,264,325,3
0.000336,264,325,3
0.0003361,264,325,3
0.0003362,264,325,3
0.0003363,264,325,3
0.0003364,264,325,3
0.0003365,264,325,3
0.0003366,264,325,3
0.0003367,264,325,3
0.0003368,264,325,3
0.0003369,264,325,3
0.000337,264,325,3
0.0003371,264,325,3
0.0003372,264,325,3
0.0003373,264,325,3
0.0003374,264,325,3
0.0003375,264,325,3
0.0003376,264,325,3
0.0003377,264,325,3
0.0003378,264,325,3
0.0003379,264,325,3
0.000338,264,325,3
0.0003381,264,325,3
0.0003382,264,325,3
0.0003383,264,325,3
0.0003384,264,325,3
0.0003385,264,325,3
0.0003386,264,325,3
0.0003387,264,325,3
0.0003388,264,325,3
0.0003389,264,325,3
0.000339,264,325,3
0.0003391,264,325,3
0.0003392,264,325,3
0.0003393,264,325,3
0.0003394,264,325,3
0.0003395,264,325,3
0.0003396,264,325,3
0.0003397,264,325,3
0.0003398,264,325,3
0.0003399,264,325,3
0.00034,264,325,3
0.0003401,264,325,3
0.0003402,264,325,3
0.0003403,264,325,3
0.0003404,264,325,3
0.0003405,264,325,3
0.0003406,264,325,3
0.0003407,264,325,3
0.0003408,264,325,3
0.0003409,264,325,3
0.000341,264,325,3
0.0003411,264,325,3
0.0003412,264,325,3
0.0003413,264,325,3
0.0003414,264,325,3
0.0003415,264,325,3
0.0003416,264,325,3
0.0003417,264,325,3
0.0003418,264,325,3
0.0003419,264,325,3
0.000342,264,325,3
0.0003421,264,325,3
0.0003422,264,325,3
0.0003423,264,325,3
0.0003424,264,325,3
0.0003425,264,325,3
0.0003426,264,325,3
0.0003427,264,325,3
0.0003428,264,325,3
0.0003429,264,325,3
0.000343,264,325,3
0.0003431,264,325,3
0.0003432,264,325,3
0.0003433,264,325,3
0.0003434,264,325,3
0.0003435,264,325,3
