particle_id,release_time,released,active,stuck,absorbed,escaped,final_step_name,final_segment_name,source_part_id,material_id,x,v_x,y,v_y
531,0.0212021202120212,1,1,0,0,0,run,run,3,1,0.016639809408768625,-0.013230333879490252,0.01047017039441559,0.016807066817918666
532,0.0212421242124212,1,1,0,0,0,run,run,4,2,0.005573592980091713,0.012191952500289843,0.014778414706846932,0.022260864925905417
533,0.0212821282128212,1,1,0,0,0,run,run,5,1,0.008180280445995806,0.009081488598455298,0.01425090771311408,0.020977088143360835
534,0.0213221322132213,1,1,0,0,0,run,run,6,2,0.012284647680655986,-0.00227366404924748,0.012326839410887584,0.018953727510485026
535,0.0213621362136213,1,1,0,0,0,run,run,7,1,0.015151363456019749,0.018456715788168057,0.01583630205099131,0.01754931685045947
536,0.0214021402140214,1,0,1,0,0,run,run,8,2,1e-06,0.0,0.011603923015919735,0.0
537,0.0214421442144214,1,1,0,0,0,run,run,9,1,0.034139770444258845,-0.006320182572384133,0.011634906742255683,0.00819699706877311
538,0.0214821482148214,1,1,0,0,0,run,run,10,2,0.03128364038087118,0.013477967773921764,0.014988272082007351,0.009608663961381776
539,0.0215221522152215,1,1,0,0,0,run,run,11,1,0.01014609335341406,0.012550387781312143,0.014837703341797993,0.020010726412779997
540,0.0215621562156215,1,1,0,0,0,run,run,12,2,0.10159990163905834,0.0,0.05997233970615454,0.0
541,0.0216021602160216,1,1,0,0,0,run,run,1,1,0.0772810995911075,0.021584538670514485,0.01634683690635547,-0.013025412798170453
542,0.0216421642164216,1,1,0,0,0,run,run,2,2,0.038040946085193365,-0.0013082519364495798,0.012482393757302883,0.0062786665888495165
543,0.0216821682168216,1,1,0,0,0,run,run,3,1,0.08162738786749912,0.03633268844129843,0.018842853484033573,-0.015159800355862518
544,0.0217221722172217,1,1,0,0,0,run,run,4,2,0.013138059476533816,0.03241255603145213,0.018200110292687605,0.018544409689203137
545,0.0217621762176217,1,1,0,0,0,run,run,5,1,0.06994831799933253,0.04677067540410462,0.02061394488353574,-0.00940900967116473
546,0.0218021802180218,1,0,1,0,0,run,run,6,2,0.053801,0.0,-0.026922139576516183,0.0
547,0.0218421842184218,1,0,1,0,0,run,run,7,1,0.053801,0.0,-0.011195065528260667,0.0
548,0.0218821882188218,1,1,0,0,0,run,run,8,2,0.05983282328514,-0.08184629580644291,-0.0011620846523672439,-0.004470466252812706
549,0.0219221922192219,1,1,0,0,0,run,run,9,1,0.06534192708660352,0.02100385237458807,0.016252179602366232,-0.0071500078218387775
