particle_id,release_time,released,active,stuck,absorbed,escaped,final_step_name,final_segment_name,source_part_id,material_id,x,v_x,y,v_y
66,0.0026002600260026,1,1,0,0,0,run,run,6,2,0.0661687243234526,0.018832211799618175,0.01581421546397652,-0.007470668233120123
67,0.0026402640264026,1,1,0,0,0,run,run,7,1,0.0751685865797659,0.04396501989879918,0.02002698508668084,-0.011776048009994822
68,0.0026802680268026,1,1,0,0,0,run,run,8,2,0.01541068886831844,0.017492856300360717,0.015837145290115724,0.017502081353812822
69,0.0027202720272027,1,1,0,0,0,run,run,9,1,0.038822962154976104,-0.008601692044115542,0.011301965160539473,0.005851878688372221
70,0.0027602760276027,1,1,0,0,0,run,run,10,2,0.026292966114165203,1.1145078954210426e-08,0.025399999941316916,1.8656613991370364e-09
71,0.0028002800280028,1,1,0,0,0,run,run,11,1,0.022720902868373326,0.04875209971151551,0.02109594161787265,0.014058370909048858
72,0.0028402840284028,1,1,0,0,0,run,run,12,2,0.019730075144971167,0.01018939185475458,0.014578808719323145,0.01534045752325646
73,0.0028802880288028,1,1,0,0,0,run,run,1,1,0.03481602315889151,0.023778918417880063,0.016806396167605216,0.007983150218034352
74,0.0029202920292029,1,1,0,0,0,run,run,2,2,0.04963165218392043,-0.013141940236756515,0.010479733798065336,0.0005102992867435284
75,0.0029602960296029,1,1,0,0,0,run,run,3,1,0.014576656770792345,-0.0008600134986507537,0.012732593062546331,0.01782221091282565
76,0.003000300030003,1,1,0,0,0,run,run,4,2,0.04688048290870852,0.054257657698342496,0.02190959181514179,0.0021959115226655576
77,0.003040304030403,1,1,0,0,0,run,run,5,1,0.006510324604887812,0.004102389018435908,0.013612834172243236,0.02181628267396086
78,0.003080308030803,1,1,0,0,0,run,run,6,2,0.02452250744340288,0.03419309194833631,0.01862103294195958,0.013100106123330499
79,0.0031203120312031,1,1,0,0,0,run,run,7,1,0.013794911329321997,0.030550170907498495,0.018056778779635557,0.01836150563516466
80,0.0031603160316031,1,1,0,0,0,run,run,8,2,0.008834805517377272,0.002882903956876429,0.013394835259927544,0.02066634415001463
81,0.0032003200320032,1,1,0,0,0,run,run,9,1,0.03703948722915179,0.04595927933486218,0.020552421021613226,0.006998081347938969
82,0.0032403240324032,1,1,0,0,0,run,run,10,2,0.04007078083761314,0.02146298986615911,0.01638825816656626,0.005385750895173553
83,0.0032803280328032,1,0,1,0,0,run,run,11,1,1.0000000000000002e-06,0.0,0.0036096618977363836,0.0
84,0.0033203320332033,1,1,0,0,0,run,run,12,2,0.02017569442170916,0.006588282821522686,0.013966650519106047,0.015103434778835256
85,0.0033603360336033,1,1,0,0,0,run,run,1,1,0.040280110450722856,0.018683014579563985,0.025284007404674465,0.0013663539645314743
86,0.0034003400340034,1,1,0,0,0,run,run,2,2,0.008281612176536118,-0.010211622981687653,0.011179572712226419,0.020874143356145625
87,0.0034403440344034,1,1,0,0,0,run,run,3,1,0.08519597882650395,0.04700980086670929,0.02049337061439738,-0.01669580270556266
88,0.0034803480348034,1,1,0,0,0,run,run,4,2,0.0035720290635580638,0.02784714865640059,0.017649243286887235,0.023379147903276443
89,0.0035203520352035,1,1,0,0,0,run,run,5,1,0.09050983380280589,0.015342967636327164,0.015103409377744613,-0.019466728680273264
90,0.0035603560356035,1,1,0,0,0,run,run,6,2,0.05378312423345073,0.04113424027400506,0.019652743643586608,-0.0012656403558731948
91,0.0036003600360036,1,1,0,0,0,run,run,7,1,0.03371960662346775,0.032639207224956925,0.01831257062649853,0.00856632888606071
92,0.0036403640364036,1,0,1,0,0,run,run,8,2,1e-06,0.0,0.0052749963084807614,0.0
93,0.0036803680368036,1,1,0,0,0,run,run,9,1,0.08645938683293823,0.02800093599007455,0.017267382196461036,-0.01741110594257881
94,0.0037203720372037,1,0,1,0,0,run,run,10,2,0.053801,0.0,-0.0023369983557349587,0.0
95,0.0037603760376037,1,0,1,0,0,run,run,11,1,1.0000000000000016e-06,0.0,0.010425083070602529,0.0
96,0.0038003800380038,1,0,1,0,0,run,run,12,2,0.053801,0.0,-0.0009250641610513246,0.0
97,0.0038403840384038,1,1,0,0,0,run,run,1,1,0.022590832815940022,-0.012928773872331375,0.010648915291155393,0.013818834313280907
98,0.0038803880388038,1,1,0,0,0,run,run,2,2,0.06819919094796356,-0.0753639248173311,-0.00015096305143208315,-0.008933476723827338
99,0.0039203920392039,1,1,0,0,0,run,run,3,1,0.004143361842177679,-0.0018381053687090937,0.012618266248869097,0.02295189151533674
100,0.0039603960396039,1,1,0,0,0,run,run,4,2,0.029704752956232833,2.8666702590692378e-05,0.025399842374381542,4.130733558971285e-06
101,0.004000400040004,1,0,1,0,0,run,run,5,1,9.999999999999457e-07,0.0,0.004576707621145192,0.0
102,0.004040404040404,1,1,0,0,0,run,run,6,2,0.042348510159071255,0.0030563542852157137,0.01325928517371861,0.00417423765280977
103,0.004080408040804,1,1,0,0,0,run,run,7,1,0.05755529156747243,0.010650851043529048,0.014470824263850953,-0.0032720379706054938
104,0.0041204120412041,1,1,0,0,0,run,run,8,2,0.020248481153253253,0.006000083499488161,0.013866661589300604,0.01506471986732084
105,0.0041604160416041,1,1,0,0,0,run,run,9,1,0.01958370711179172,1.052344825453916e-12,0.02539999999999494,2.24387324390512e-13
106,0.0042004200420042,1,1,0,0,0,run,run,10,2,0.031577625715011735,0.004692718019734013,0.02537361112595071,0.0006176601773311485
107,0.0042404240424042,1,1,0,0,0,run,run,11,1,0.07718867196427118,0.05524251378480141,0.021927254907869124,-0.012714684783760678
108,0.0042804280428042,1,1,0,0,0,run,run,12,2,0.004921917169037003,0.03450347854328622,0.01877006657062045,0.022747590593674795
109,0.0043204320432043,1,1,0,0,0,run,run,1,1,0.06900100799328947,0.031074061058564445,0.017873833264338244,-0.008804262930720577
110,0.0043604360436043,1,1,0,0,0,run,run,2,2,0.008921330349721363,0.0448414364248618,0.02050145456446569,0.020830251764945525
111,0.0044004400440044,1,0,1,0,0,run,run,3,1,1e-06,0.0,0.004870862589907343,0.0
112,0.0044404440444044,1,0,1,0,0,run,run,4,2,0.053801,0.0,-0.0037594999106538894,0.0
113,0.0044804480448044,1,1,0,0,0,run,run,5,1,0.004851712323927902,0.0175058569099422,0.01589131080414026,0.022698490548004366
114,0.0045204520452045,1,1,0,0,0,run,run,6,2,0.017448607512129975,0.05873759103407573,0.02281325637163765,0.016702144865544506
115,0.0045604560456045,1,1,0,0,0,run,run,7,1,0.027760339263719413,0.033786579778811256,0.025219494203134987,0.005395151384073042
116,0.0046004600460046,1,1,0,0,0,run,run,8,2,0.06525192145028359,0.061370931326867634,0.023024045991724192,-0.006810141877428868
117,0.0046404640464046,1,1,0,0,0,run,run,9,1,0.016912996280452484,0.005352508979371965,0.013773388514787792,0.01670301128576078
118,0.0046804680468046,1,0,1,0,0,run,run,10,2,0.10159899999999998,0.0,0.016212253944862292,0.0
119,0.0047204720472047,1,1,0,0,0,run,run,11,1,0.03858939483219276,3.994100951716856e-05,0.025399756132509846,3.331419755736761e-06
120,0.0047604760476047,1,0,1,0,0,run,run,12,2,1.0000000000000002e-06,0.0,0.010086604523501632,0.0
121,0.0048004800480048,1,0,1,0,0,run,run,1,1,1e-06,0.0,0.0024350396465154366,0.0
122,0.0048404840484048,1,0,1,0,0,run,run,2,2,1e-06,0.0,0.002565954811916479,0.0
123,0.0048804880488048,1,1,0,0,0,run,run,3,1,0.02549849033757952,0.06143595629028982,0.02323069693917355,0.01275386885680656
124,0.0049204920492049,1,1,0,0,0,run,run,4,2,0.02666133963878779,-0.015711730649013468,0.010157498840185844,0.01180193707322828
125,0.0049604960496049,1,0,1,0,0,run,run,5,1,0.101599,0.0,0.05773502333691282,0.0
126,0.005000500050005,1,1,0,0,0,run,run,6,2,0.03453046579555442,0.06623501743856222,0.023999125698170847,0.00833261774940737
127,0.005040504050405,1,0,1,0,0,run,run,7,1,0.101599,0.0,0.055244999253229524,0.0
128,0.005080508050805,1,1,0,0,0,run,run,8,2,0.07551814837778241,0.04114016421094696,0.019546783416086965,-0.011961978244694698
129,0.0051205120512051,1,0,1,0,0,run,run,9,1,1e-06,0.0,0.010468065126077087,0.0
130,0.0051605160516051,1,0,1,0,0,run,run,10,2,0.101599,0.0,0.05524654851388471,0.0
131,0.0052005200520052,1,1,0,0,0,run,run,11,1,0.02203231226380365,0.02169605928583239,0.016516508009109254,0.014264094411777905
132,0.0052405240524052,1,0,1,0,0,run,run,12,2,0.10159899999999998,0.0,0.016385941201826213,0.0
133,0.0052805280528052,1,1,0,0,0,run,run,1,1,0.058283582321819564,-0.08305934597052564,-0.0014056361984716738,-0.004091620632064466
134,0.0053205320532053,1,1,0,0,0,run,run,2,2,0.03771750868461514,9.469048149296363e-07,0.025399994274876023,8.461668705891919e-08
135,0.0053605360536053,1,1,0,0,0,run,run,3,1,0.05120438516393884,0.06197337592707798,0.02319522115752519,0.00010597851994412232
136,0.0054005400540054,1,1,0,0,0,run,run,4,2,0.006125808638370225,0.0072097140214844365,0.014141053246923302,0.022020804862329647
137,0.0054405440544054,1,1,0,0,0,run,run,5,1,0.05098464295811985,0.021091390888807467,0.01627160584729575,1.2928583560575878e-05
138,0.0054805480548054,1,1,0,0,0,run,run,6,2,0.03472098569750491,-0.048222176158789216,0.004611131622868145,0.007675584719314803
139,0.0055205520552055,1,1,0,0,0,run,run,7,1,0.04092357586037445,0.00016350151894803546,0.02539897564875006,1.1031951535998073e-05
140,0.0055605560556055,1,1,0,0,0,run,run,8,2,0.08752280276264086,0.038595104841986985,0.019056616666320587,-0.01788230377417789
141,0.0056005600560056,1,1,0,0,0,run,run,9,1,0.02769482674096743,0.00855715500597624,0.014263139616683084,0.01141276478658848
142,0.0056405640564056,1,1,0,0,0,run,run,10,2,0.044138957517130456,-0.011412490513937813,0.010799703442164861,0.003221907336995348
143,0.0056805680568056,1,1,0,0,0,run,run,11,1,0.03151108109278574,0.012847405453361263,0.014971052602662896,0.009555800828168615
144,0.0057205720572057,1,0,1,0,0,run,run,12,2,0.10159899999999998,0.0,0.01959289842628186,0.0
145,0.0057605760576057,1,1,0,0,0,run,run,1,1,0.019816117091959892,0.009494075362151067,0.014460610772866792,0.015294692226566653
146,0.0058005800580058,1,0,1,0,0,run,run,2,2,0.101599,0.0,0.03963107076713001,0.0
147,0.0058405840584058,1,1,0,0,0,run,run,3,1,0.007338360673836528,0.01497587507620303,0.015450538480065954,0.021462295946102508
148,0.0058805880588058,1,1,0,0,0,run,run,4,2,0.01793922256151621,0.05477286513820069,0.02213928636784835,0.016441189086631374
149,0.0059205920592059,1,1,0,0,0,run,run,5,1,0.08152930448780336,0.04525807609015689,0.020214703572554563,-0.01489995819975528
150,0.0059605960596059,1,0,1,0,0,run,run,6,2,0.10159899999999998,0.0,0.018726020190317466,0.0
151,0.006000600060006,1,0,1,0,0,run,run,7,1,0.101599,0.0,0.014821977249531364,0.0
152,0.006040604060406,1,1,0,0,0,run,run,8,2,0.05230448220611242,0.010425593230430028,0.014458510093132386,-0.0006890875478868751
153,0.006080608060806,1,0,1,0,0,run,run,9,1,0.053801,0.0,-0.005210567776521325,0.0
154,0.0061206120612061,1,1,0,0,0,run,run,10,2,0.06998022083211905,0.02316091101447658,0.016528664416537702,-0.0093251015177109
155,0.0061606160616061,1,1,0,0,0,run,run,11,1,0.005318558270559985,0.013733212315545727,0.015249993003525976,0.022450177440226246
156,0.0062006200620062,1,1,0,0,0,run,run,12,2,0.08400402106815782,0.0001667652617747369,0.012564841612316337,-0.016339736106981594
157,0.0062406240624062,1,1,0,0,0,run,run,1,1,0.021090563553755406,-0.053499766270275737,0.0037842785241134404,0.014357495306481758
158,0.0062806280628062,1,1,0,0,0,run,run,2,2,0.007739671717228819,-0.0058321295769783645,0.011924049698551773,0.021162398873093173
159,0.0063206320632063,1,1,0,0,0,run,run,3,1,0.02991166536081829,2.3062266991127127e-09,0.025399999987286412,3.2905215230930596e-10
160,0.0063606360636063,1,1,0,0,0,run,run,4,2,0.07520883074076569,0.01352844764239627,0.014871361440477236,-0.01194563939529085
161,0.0064006400640064,1,0,1,0,0,run,run,5,1,1e-06,0.0,0.006116180698140904,0.0
162,0.0064406440644064,1,1,0,0,0,run,run,6,2,0.01882059490376726,-0.010063050878103436,0.011152873198365432,0.015688368776886504
163,0.0064806480648064,1,1,0,0,0,run,run,7,1,0.06574856364191728,0.022227586516711976,0.016391400563538303,-0.007247186792720187
164,0.0065206520652065,1,1,0,0,0,run,run,8,2,0.011372167483953614,0.0024523780811251963,0.01330942465954821,0.019415524029136808
165,0.0065606560656065,1,1,0,0,0,run,run,9,1,0.0851196547231157,0.01624397517537324,0.015282550829328393,-0.01680964817644675
166,0.0066006600660066,1,0,1,0,0,run,run,10,2,0.053801,0.0,-0.020156515602290072,0.0
167,0.0066406640664066,1,1,0,0,0,run,run,11,1,0.01099462942183265,-0.014570922164513042,0.010427831848819239,0.019517544230388324
168,0.0066806680668066,1,1,0,0,0,run,run,12,2,0.006458762335969046,0.022084027001984093,0.016658864428989152,0.02193015006039447
169,0.0067206720672067,1,1,0,0,0,run,run,1,1,0.07957032965387355,0.03599601914732681,0.01865551295031152,-0.013981477023974575
170,0.0067606760676067,1,1,0,0,0,run,run,2,2,0.01435062383708622,0.0009665888991077023,0.013043100083024,0.017942436740282623
171,0.0068006800680068,1,1,0,0,0,run,run,3,1,0.04502955900980893,0.06921522152040967,0.024452251663663906,0.003180409018921585
172,0.0068406840684068,1,1,0,0,0,run,run,4,2,0.009572841074406412,-0.003081260185032036,0.012380977597408128,0.020273786596203207
173,0.0068806880688068,1,0,1,0,0,run,run,5,1,1e-06,0.0,0.0062953440356461445,0.0
174,0.0069206920692069,1,1,0,0,0,run,run,6,2,0.0766222719188817,0.03221759405921982,0.01803002165325579,-0.012549256231874958
175,0.0069606960696069,1,1,0,0,0,run,run,7,1,0.03447427594190712,1.601531319943648e-05,0.02539990671847007,1.7859573045879479e-06
176,0.007000700070007,1,1,0,0,0,run,run,8,2,0.03788733866827332,-0.001040793390149992,0.012587254239354594,0.006349532309163901
177,0.007040704070407,1,1,0,0,0,run,run,9,1,0.014076785415110909,0.02827230868394566,0.01766956139014675,0.018211578168193368
178,0.007080708070807,1,1,0,0,0,run,run,10,2,0.03137234456166063,0.013968553934933164,0.015161638400071877,0.009629594120055507
179,0.0071207120712071,1,1,0,0,0,run,run,11,1,0.025381060128424365,0.027255012760720468,0.01744161792584637,0.012643446090300476
180,0.0071607160716071,1,1,0,0,0,run,run,12,2,0.07718880999628307,-0.0024720297939686917,0.012151415062938957,-0.012998780813398114
181,0.0072007200720072,1,0,1,0,0,run,run,1,1,1e-06,0.0,0.007581808964191268,0.0
182,0.0072407240724072,1,1,0,0,0,run,run,2,2,0.0217912983847498,0.05626435799579475,0.022372962243583386,0.014552823051127654
183,0.0072807280728072,1,1,0,0,0,run,run,3,1,0.02047740159454194,2.8503754894439964e-10,0.025399999998612494,5.903742573722638e-11
184,0.0073207320732073,1,1,0,0,0,run,run,4,2,0.04685305699929228,0.00931225943859149,0.014296758590630466,0.0019882206664403384
185,0.0073607360736073,1,1,0,0,0,run,run,5,1,0.05857501575804346,-0.08541445858471557,-0.0018059855036181528,-0.004246632671434802
186,0.0074007400740074,1,1,0,0,0,run,run,6,2,0.058947442284142185,-0.0005993052740291476,0.012558392460213876,-0.004012516223540279
187,0.0074407440744074,1,1,0,0,0,run,run,7,1,0.024836106179021353,-0.0009617747049249959,0.012664867098322461,0.012772769948794426
188,0.0074807480748074,1,1,0,0,0,run,run,8,2,0.013044909878250703,0.011518238204763805,0.014836791578800626,0.01863693969854274
189,0.0075207520752075,1,1,0,0,0,run,run,9,1,0.07210060041732531,0.03864647300485717,0.019141214160013412,-0.010292386674834125
190,0.0075607560756075,1,1,0,0,0,run,run,10,2,0.06267220349282589,0.04708806473359298,0.020617472437880868,-0.0056108856643145855
191,0.0076007600760076,1,1,0,0,0,run,run,11,1,0.02710837998049443,0.048426222559637154,0.021019151797838982,0.011897576318987737
192,0.0076407640764076,1,1,0,0,0,run,run,12,2,0.06778729539043211,0.04088223508974935,0.019541140226426442,-0.008158695050054145
193,0.0076807680768076,1,1,0,0,0,run,run,1,1,0.07330257122252685,0.05904453981609825,0.022590376444044734,-0.010783523439822425
194,0.0077207720772077,1,1,0,0,0,run,run,2,2,0.08651179157269905,0.004993930919595891,0.01337013807525006,-0.01755011905354515
195,0.0077607760776077,1,1,0,0,0,run,run,3,1,0.07215152729177013,0.03823492611456031,0.019071254655498502,-0.010319474433770556
196,0.0078007800780078,1,0,1,0,0,run,run,4,2,0.053801,0.0,-0.03137861268611697,0.0
197,0.0078407840784078,1,1,0,0,0,run,run,5,1,0.01403011647520028,0.0562515209552165,0.022408982642993576,0.01837223805323313
198,0.0078807880788078,1,0,1,0,0,run,run,6,2,0.053801,0.0,-0.003759326025443865,0.0
199,0.0079207920792079,1,1,0,0,0,run,run,7,1,0.0617593376134457,-0.06598035909839496,0.0014701418343935216,-0.005718079545621818
200,0.0079607960796079,1,1,0,0,0,run,run,8,2,0.01577147148853579,0.014577323646099618,0.015341529299087296,0.017310182817893628
201,0.008000800080008,1,1,0,0,0,run,run,9,1,0.024231104504564765,1.1479450920021504e-10,0.025399999999411744,2.083308277679043e-11
202,0.008040804080408,1,1,0,0,0,run,run,10,2,0.015434536042598033,-0.0077926507439155515,0.011554103130790345,0.017365909065037766
203,0.008080808080808,1,0,1,0,0,run,run,11,1,0.053801,0.0,-0.005877692506588177,0.0
204,0.0081208120812081,1,1,0,0,0,run,run,12,2,0.05805831336144845,0.006585864583653528,0.013779810808767926,-0.003539592837137835
205,0.0081608160816081,1,1,0,0,0,run,run,1,1,0.013815973307354108,0.05798204056330149,0.022703156398619896,0.018486139771564297
206,0.0082008200820082,1,0,1,0,0,run,run,2,2,0.053801,0.0,-0.037981578571175845,0.0
207,0.0082408240824082,1,0,1,0,0,run,run,3,1,0.053801,0.0,-0.003700860427887272,0.0
208,0.0082808280828082,1,1,0,0,0,run,run,4,2,0.010390649135068566,4.959287573778354e-16,0.025399999999999995,1.368863330661914e-16
209,0.0083208320832083,1,1,0,0,0,run,run,5,1,0.07730258762014411,0.026719871799089488,0.01709545518137242,-0.012911112872742096
210,0.0083608360836083,1,1,0,0,0,run,run,6,2,0.04305464219330291,0.04000775800395545,0.019514734770506303,0.004008579184941062
211,0.0084008400840084,1,1,0,0,0,run,run,7,1,0.048305788797290736,0.042739569997864144,0.01995161393343918,0.0014377981936721793
212,0.0084408440844084,1,1,0,0,0,run,run,8,2,0.014755792217985475,0.05038723812690135,0.021412103962393438,0.017986254625016282
213,0.0084808480848084,1,1,0,0,0,run,run,9,1,0.025784330355031585,0.02399613207113477,0.016887635661147034,0.012428948601427247
214,0.0085208520852085,1,0,1,0,0,run,run,10,2,0.053801,0.0,-0.0027873962286746766,0.0
215,0.0085608560856085,1,1,0,0,0,run,run,11,1,0.08559771961179365,0.03496418416106394,0.018451075727726404,-0.016952789302803903
216,0.0086008600860086,1,1,0,0,0,run,run,12,2,0.040833809989934564,8.465371606292238e-05,0.025399470151709142,5.763297060479689e-06
217,0.0086408640864086,1,1,0,0,0,run,run,1,1,0.07762721593268652,0.05169858126534185,0.021324816233343296,-0.012947944205803781
