particle_id,release_time,source_part_id,material_id,source_event_tag,x,vx,y,vy
6186,0.2474,6,2,,0.0792872662726948,0.0,-0.0157179903875088,0.0
6187,0.24744,7,1,,0.0927298325044855,0.0,0.0626113282960305,0.0
6188,0.24748,8,2,,0.0914280118782695,0.0,0.0158047315828095,0.0
6189,0.24752,9,1,,0.058052578331551,0.0,0.040913265929611,0.0
6190,0.24756,10,2,,0.0820420256062485,0.0,-0.0145796983893087,0.0
6191,0.2476,11,1,,0.0593850321691133,0.0,0.0046303292378015,0.0
6192,0.24764,12,2,,0.0915677812794047,0.0,-0.0222331857329642,0.0
6193,0.24768,1,1,,0.0945453255494582,0.0,0.0172749184460657,0.0
6194,0.24772,2,2,,0.0177724481447171,0.0,0.0221095511751131,0.0
6195,0.24776,3,1,,0.0975703563809896,0.0,-0.0354775926796256,0.0
6196,0.2478,4,2,,0.0880272125511306,0.0,-0.0068544918682252,0.0
6197,0.24784,5,1,,0.0945949190694486,0.0,-0.0303780326829884,0.0
6198,0.24788,6,2,,0.063238188503844,0.0,-0.0171359236102071,0.0
6199,0.24792,7,1,,0.0927120796034187,0.0,0.0195589829897328,0.0
6200,0.24796,8,2,,0.0493990722807032,0.0,0.0221457853770548,0.0
6201,0.248,9,1,,0.0082232929187661,0.0,0.0178977278764545,0.0
6202,0.24804,10,2,,0.0355086918174801,0.0,0.0209941895571172,0.0
6203,0.24808,11,1,,0.0868910036662298,0.0,0.0297428528512026,0.0
6204,0.24812,12,2,,0.034216250678698,0.0,0.000161722317039,0.0
6205,0.24816,1,1,,0.0563457274765498,0.0,0.0463019388807822,0.0
6206,0.2482,2,2,,0.0666504220912091,0.0,0.0333924715254912,0.0
6207,0.24824,3,1,,0.0081287968466573,0.0,8.288733593684954e-05,0.0
6208,0.24828,4,2,,0.0089769596183406,0.0,0.0211038042625024,0.0
6209,0.24832,5,1,,0.0881398551555206,0.0,-0.0257210375471313,0.0
6210,0.24836,6,2,,0.0700281134243786,0.0,0.0096722640997923,0.0
6211,0.2484,7,1,,0.0883890788521729,0.0,0.0423313932852055,0.0
6212,0.24844,8,2,,0.0614410950030338,0.0,0.0477229911643575,0.0
6213,0.24848,9,1,,0.0003694922420116,0.0,0.0111505444739845,0.0
6214,0.24852,10,2,,0.0735247034404752,0.0,0.0374727656555794,0.0
6215,0.24856,11,1,,0.0507299656797995,0.0,0.0077271267842122,0.0
6216,0.2486,12,2,,0.0559961871234599,0.0,-0.0074667742986423,0.0
6217,0.24864,1,1,,0.058759147329604,0.0,-0.0359106893606583,0.0
6218,0.24868,2,2,,0.0682208124563131,0.0,-0.0129891843091132,0.0
6219,0.24872,3,1,,0.0721426196371935,0.0,0.0437454222610174,0.0
