particle_id,x,y,vx,vy,release_time,mass,diameter,density,charge,source_part_id,material_id,source_event_tag,stick_probability,source_x,source_y,release_offset_m,target_x,target_y,initial_speed_mps,particle_model
1292,0.17637641586800071,0.024,-825.08260635794068,-115.79667916921777,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17637641586800071,0.021999999999999999,0.0020000000000000018,0.1484651594947573,0.021972619830349743,833.16875734813243,neutral_100nm_low_pressure_redeposit
1293,0.16897532246972907,0.024,-522.33494041140398,-3.9133857007552937,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16897532246972907,0.021999999999999999,0.0020000000000000018,0.12104344639782288,0.021700902761454626,522.34959994454653,neutral_100nm_low_pressure_redeposit
1294,0.17635671131589048,0.024,-533.69843844384036,-27.61891546366887,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17635671131589048,0.021999999999999999,0.0020000000000000018,0.042703911078409519,0.021903816738447202,534.4126006081658,neutral_100nm_low_pressure_redeposit
1295,0.15712011384805191,0.024,-486.98752622130871,-174.35608935009145,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.15712011384805191,0.021999999999999999,0.0020000000000000018,0.14981569624212446,0.022053201388641207,517.25902272324538,neutral_100nm_low_pressure_redeposit
1296,0.15474378307774539,0.024,-453.2814678286627,-59.216187288464468,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.15474378307774539,0.021999999999999999,0.0020000000000000018,0.13496004943337039,0.022345451681763526,457.13307243502902,neutral_100nm_low_pressure_redeposit
1297,0.17629345397036461,0.024,-347.812094168329,-1.2592404511072837,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17629345397036461,0.021999999999999999,0.0020000000000000018,0.098609084715828577,0.021979159226544906,347.81437367692592,neutral_100nm_low_pressure_redeposit
1298,0.16453834466166481,0.024,-562.40906814104426,-37.557387513570475,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16453834466166481,0.021999999999999999,0.0020000000000000018,0.12249908034839248,0.022138722509602464,563.66170464572303,neutral_100nm_low_pressure_redeposit
1299,0.16676357101940392,0.024,-932.15953148719268,-74.781153751765828,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16676357101940392,0.021999999999999999,0.0020000000000000018,0.13814857964886224,0.022055699712161959,935.15432581947016,neutral_100nm_low_pressure_redeposit
1300,0.16500070002974165,0.024,-585.47347833235494,3.1823137014085843,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16500070002974165,0.021999999999999999,0.0020000000000000018,0.1425883082081158,0.021645587648616339,585.4821269270999,neutral_100nm_low_pressure_redeposit
1301,0.1766341986503224,0.024,-842.69699286778507,-33.700439474954557,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.1766341986503224,0.021999999999999999,0.0020000000000000018,0.1256169947862964,0.021761219161609016,843.37058367553516,neutral_100nm_low_pressure_redeposit
1302,0.1657846123547097,0.024,-1196.9620763820863,-85.33339148940982,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.1657846123547097,0.021999999999999999,0.0020000000000000018,0.13738869836354464,0.022173096926443193,1200,neutral_100nm_low_pressure_redeposit
1303,0.15670254654391899,0.024,-580.24119019134275,-108.72652129550855,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.15670254654391899,0.021999999999999999,0.0020000000000000018,0.12451779852189415,0.021628564389818694,590.33998274527255,neutral_100nm_low_pressure_redeposit
1304,0.17805247088377082,0.024,-617.64508086598926,31.555044588023147,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.17805247088377082,0.021999999999999999,0.0020000000000000018,0.13986133379560792,0.022214520671504694,618.45061788060855,neutral_100nm_low_pressure_redeposit
1305,0.16202105223904492,0.024,-460.15275362311985,-81.476247952323476,0.0,6.2831853071795859e-19,9.9999999999999995e-08,1200,0,11,40,part11_neutral_redeposit_to_wafer,0.0,0.16202105223904492,0.021999999999999999,0.0020000000000000018,0.14161836982131409,0.021759432538004383,467.31032050162145,neutral_100nm_low_pressure_redeposit
